Code,Date,Code Client,Nit,Code product,Name,Description,Cost,NitProduc
72720,2018-04-23 19:37:41,47-879-4121,06-630-0963,SK56 6894 6672 2298 7132 9270,Garden,Industrial,28685,05-388-8051
2329,2019-08-10 05:50:12,37-426-0231,00-664-4497,FR98 5300 0612 79SD YHC3 NNWV Q87,Shoes,Shoes,45275,84-367-6724
21,2019-10-12 01:02:33,32-942-2966,29-937-9340,FR10 5249 9544 04DU DD4K NN1P X21,Books,Electronics,36462,82-319-9062
7,2020-05-12 05:35:16,16-447-0648,83-604-4473,FR22 6930 9270 55CF 6QSQ KQ5T I19,Health,Grocery,23339,92-147-5711
5590,2020-08-09 01:17:55,68-201-8956,81-160-4587,SE37 8943 8728 7760 4630 2043,Home,Toys,32770,78-546-2484
8547,2018-04-22 23:04:33,99-381-0232,89-271-8108,GL33 8882 2295 7474 87,Shoes,Outdoors,21628,38-605-1379
60,2018-04-09 07:25:44,18-161-9211,43-222-0559,MC53 8355 0950 23PI NGV2 77GF T59,Automotive,Industrial,42235,60-904-5904
1,2020-01-16 01:56:40,31-167-6992,34-798-6475,FR39 8785 3396 26IY YLFP FFKF E80,Sports,Books,31902,96-624-2043
67,2019-02-15 14:08:19,35-838-2720,00-976-1000,GL44 4878 0846 4304 84,Automotive,Electronics,37767,61-827-6895
4,2018-05-09 12:11:34,36-774-5832,21-425-3160,PL96 3496 2999 0685 9259 6015 7188,Tools,Kids,23179,26-500-7025
07,2020-05-19 23:36:18,55-472-2045,16-675-8091,MU57 LXQB 0385 7865 5087 3260 456X JE,Kids,Home,31359,64-423-5922
82192,2018-10-10 03:25:48,43-562-0059,88-727-3287,PL23 4538 3436 2813 1648 9917 5022,Beauty,Baby,40964,94-905-5360
44936,2020-08-23 07:57:29,83-336-6438,47-971-7845,FR48 8620 7655 20VN ZFBF PPCY A61,Beauty,Kids,36717,61-334-7326
7,2020-03-28 13:18:08,41-348-4258,25-262-7860,BG53 FGPQ 3758 99TN PBB3 CR,Electronics,Sports,35936,01-605-4958
36,2018-06-23 18:43:29,87-068-8955,92-015-7735,CH40 2173 59MR WK3M FZCW V,Jewelery,Home,46308,02-755-3980
16,2020-08-28 05:46:01,41-728-8628,88-933-9788,FR77 9223 1328 772G O50P AX2V F98,Books,Tools,24122,73-404-1420
7,2019-08-18 12:48:51,54-375-5789,07-358-3119,FR26 2429 4871 28EJ QHLC TNRQ U40,Beauty,Toys,23360,48-394-2228
17542,2019-06-14 17:19:11,75-359-6084,84-005-0422,ME71 6865 3265 7680 8601 41,Games,Sports,41774,24-803-8448
79,2019-04-29 07:22:42,64-143-1864,40-291-4149,DK49 9578 1639 3514 95,Computers,Home,25351,50-143-8002
38458,2019-04-08 20:37:30,54-883-9395,05-732-2482,BG58 AANS 5433 61Q6 I70E SA,Tools,Home,10010,46-323-7249
9,2019-07-31 03:12:09,32-757-8435,80-020-2223,MC62 5781 0303 14LE XJOG MQ9T 025,Shoes,Computers,8377,10-137-4889
9,2020-08-23 20:54:56,96-240-9007,44-189-6392,AZ26 XKJF F7RA QNFH AWNC HV8W YBIU,Outdoors,Industrial,26344,19-087-2790
72793,2019-02-02 15:21:41,71-413-5405,58-452-3426,SE80 4270 7359 2803 2904 6510,Shoes,Automotive,6352,43-793-2436
85898,2019-04-02 14:15:42,53-812-1435,98-685-1568,SM68 N562 7620 309M DOXL 9S2V EA8,Books,Kids,24962,28-530-1273
54770,2020-01-14 18:41:28,02-615-2763,52-948-9383,GR15 5172 126U Y9ZS FUKS 7JFI NVV,Kids,Jewelery,23341,77-319-8004
5272,2019-01-27 17:19:16,90-940-2243,98-196-8419,TN33 7827 3788 7388 8291 1144,Music,Toys,13074,98-195-9031
94992,2020-08-19 23:39:49,77-014-0301,15-053-8322,PK15 ANNX TCKV NHVP IDDD X2OV,Movies,Home,36096,35-320-0039
4,2018-12-18 02:01:02,89-112-8759,82-411-5070,CR17 6149 3062 5496 1342 7,Shoes,Industrial,47535,70-434-7612
617,2018-07-15 03:32:38,66-808-2449,36-242-0874,MD54 BHKB GZPS HT31 NTOS REF7,Garden,Movies,16969,05-697-8750
008,2020-07-30 15:25:13,97-249-8212,58-136-2438,MK47 619J VN2N SP3U B07,Kids,Industrial,30747,44-291-9986
8,2019-12-28 22:42:54,38-674-6580,29-814-7162,EE18 7315 1166 1555 1368,Shoes,Books,34449,97-485-4466
887,2019-03-24 00:12:31,09-775-3021,15-383-1100,MR59 7463 3104 7166 8378 8788 193,Shoes,Health,19703,51-739-9271
939,2019-08-12 11:55:04,83-827-4373,53-362-0990,TR29 6286 8HSW ZHVH 1A9W AGW3 JU,Automotive,Games,12249,89-717-5862
6014,2019-05-25 09:56:34,96-658-7510,12-705-4401,DK15 1796 4999 8426 22,Jewelery,Kids,15132,31-934-5564
500,2019-12-11 23:23:04,91-356-1161,42-945-6279,RO39 OZRR XEOX EZG0 53VD XU9Y,Music,Outdoors,36310,23-164-6363
2758,2020-08-11 05:05:32,86-806-4373,38-777-3442,MU66 DKJS 3401 3813 3765 3376 469F TU,Toys,Home,48320,10-869-8315
19384,2018-06-12 06:37:00,15-548-8099,29-086-6397,MC91 7425 4651 55UN BALC RHMK G98,Home,Jewelery,30403,77-662-8133
9774,2019-03-22 20:00:20,54-558-1639,38-084-9453,BA83 1885 5366 1839 7244,Health,Shoes,49207,61-394-4338
49,2018-12-03 03:20:30,89-246-0141,62-105-4067,FR80 6926 9881 47K0 MFUK WTXL X19,Grocery,Automotive,45018,18-925-1245
593,2020-08-15 12:52:39,90-056-5403,48-976-7311,SI07 9812 4749 5489 760,Music,Books,19213,88-045-6304
3467,2019-10-20 17:30:21,44-529-3690,85-436-0255,RO64 DTFH MEFQ PLWH PIFR 2RCC,Shoes,Grocery,15694,61-766-5581
13,2019-04-25 10:46:20,68-477-1217,08-917-5102,BR27 7596 4656 8352 1997 3667 493T C,Baby,Kids,19505,03-082-3062
59991,2020-03-01 16:09:31,84-373-2369,63-807-1237,SA16 9185 GHFE GBB1 5EAL 78TD,Movies,Grocery,49494,46-415-4488
4996,2018-03-18 14:35:47,92-827-3135,20-500-1389,GR18 6958 558S QXXJ E0OB HIGJ CXQ,Shoes,Tools,22022,58-028-9969
21395,2019-11-22 17:52:31,27-535-6513,85-938-2239,FR81 6353 8978 78MH SJCJ E4JQ S32,Kids,Movies,27091,84-341-7121
3517,2018-07-25 00:57:21,47-309-0258,11-866-1757,FI14 6605 6463 2485 13,Industrial,Beauty,18865,36-190-8149
3675,2020-02-27 23:54:48,25-195-4446,41-578-5313,MK47 018M 5XLF XJQJ 496,Industrial,Kids,42384,24-305-9802
745,2018-08-17 19:03:31,61-594-5469,90-938-8933,RO43 LYBY QMLF NQAJ UWQ3 VDLO,Jewelery,Home,47403,37-130-8350
0188,2018-05-19 18:03:27,01-675-1940,19-516-9197,KW70 NOWV Z4JW TZ9W VCC8 ZF0Z RMNQ EN,Home,Outdoors,45133,75-464-3217
84395,2019-01-03 10:43:49,89-332-7539,91-981-3539,AT20 0223 1297 2507 3978,Jewelery,Electronics,48481,47-199-6319
5689,2020-06-09 01:23:27,78-665-2372,25-665-5247,GR47 9033 289H OH4H 7Y8F EPMC IES,Books,Books,13821,27-770-8357
44,2020-01-02 10:34:56,25-799-7793,00-449-9155,EE77 5404 5669 6438 5423,Clothing,Health,33455,67-259-3386
073,2018-07-20 23:28:18,04-099-7235,28-086-9678,NL76 UNJO 4268 6927 08,Clothing,Toys,22225,04-270-5598
05055,2018-07-26 11:48:25,03-636-3332,47-330-4333,GR88 1855 924K ACYN TVJX EI82 FSM,Toys,Books,29345,68-428-1338
1966,2020-04-20 11:30:25,04-881-5405,61-760-3451,BR91 0124 4225 0807 2500 2494 460I T,Tools,Tools,16050,15-514-4359
823,2020-06-16 14:46:59,01-582-6705,47-944-1157,MR53 1904 9662 5616 9097 7456 825,Toys,Games,37796,07-495-2357
721,2020-06-22 00:42:18,53-594-0753,37-557-9996,NL12 YFNL 7821 1408 91,Clothing,Industrial,48188,98-677-2511
93320,2018-08-11 11:55:51,16-671-5398,66-496-2485,BH25 LCXN DZOA 1WA4 R3QZ F3,Grocery,Computers,36355,42-658-6467
1821,2018-09-01 23:18:16,54-312-8414,72-315-4301,MU15 PRNK 3706 4001 9086 8480 444N GV,Books,Baby,16163,59-898-6993
4614,2019-08-21 08:02:11,76-236-6763,13-888-2623,FI28 6696 0722 8637 30,Shoes,Home,40290,09-219-2425
78,2019-05-22 19:30:05,32-272-7795,31-849-0116,FR12 0371 5125 21B8 UDTG SDXL B24,Shoes,Baby,41894,54-665-3094
8,2020-04-15 17:27:40,70-190-8844,63-851-2040,FR89 9788 8661 337J D5C8 XU50 F54,Tools,Industrial,43256,23-504-5372
5,2019-09-07 16:39:52,41-935-9662,89-995-3202,ES45 7707 9249 5439 7091 1692,Electronics,Movies,6081,92-240-0528
23,2020-04-11 16:09:00,11-069-5163,91-592-2186,DE07 6191 1100 0436 5371 51,Games,Music,11339,79-820-9024
3,2019-01-07 12:20:28,12-015-3273,61-169-4541,FR68 4131 4050 691B CQP0 4HT1 I86,Health,Books,12709,82-810-7835
59077,2018-10-29 13:29:51,16-213-7725,70-253-7116,SA47 63IG HWAF N1FD S9OU Y73A,Baby,Toys,28982,11-099-2218
44,2019-04-28 21:54:48,89-293-2018,70-678-5317,MD40 OD7J 2J6L SIZK NEVN ATZR,Outdoors,Home,42006,12-879-8178
64907,2018-07-13 04:47:31,75-621-3061,95-232-9375,AT38 8048 1489 8617 4455,Grocery,Toys,20662,35-716-3994
6191,2019-09-13 01:37:04,89-982-4618,34-273-7632,BA69 4769 5614 7686 8738,Clothing,Industrial,11431,51-284-3283
58,2019-12-22 20:26:32,57-340-2954,08-137-6761,BH41 UPGG ZWRD 2OFL 48WB 39,Electronics,Baby,26700,76-120-3395
093,2019-07-10 21:29:47,93-785-5684,68-857-1134,SE98 9044 2981 5463 6539 9559,Grocery,Shoes,38675,43-981-7200
0490,2020-06-10 14:07:31,57-934-9868,99-388-8646,FR04 9433 0918 09CH DKQL QBUT R16,Games,Computers,38691,27-146-4592
2,2020-08-07 11:57:42,02-339-0591,02-524-5833,SM87 B838 9106 084V QC1V Y9LP HXU,Health,Movies,43046,24-568-8025
05,2018-12-05 06:45:45,60-675-8500,86-505-6344,PK90 YDHR XZNV CK5L RWRE EAXR,Music,Toys,6624,35-737-4562
43035,2020-07-29 02:22:38,63-468-5083,23-973-4550,FR66 3237 2945 74BI ITXT C9HD V68,Books,Industrial,29563,11-834-9990
1839,2018-11-28 10:24:36,28-986-3882,18-360-8385,MU61 ZVGI 1991 6884 1368 7828 212P GY,Music,Grocery,44872,64-435-2939
3429,2019-03-08 01:59:36,04-006-7947,44-512-5655,FR11 5879 6833 97ND XMUZ WBDM J52,Clothing,Electronics,32105,40-378-2282
81,2020-01-12 17:25:16,30-443-9872,60-540-2414,FR44 3970 8607 009C S8GN SIGX L87,Home,Books,31753,49-207-3028
020,2020-05-10 23:00:36,70-214-9632,03-742-0898,LB52 1184 G1SR WXKD NYUR CBHR JV1C,Garden,Automotive,20145,41-162-2293
081,2019-10-02 18:05:33,70-999-1312,29-053-7159,FR55 0565 6527 67S7 K7GH K6FC 901,Industrial,Kids,7411,72-832-3852
97296,2019-06-07 04:49:54,23-426-5694,45-320-0221,MC69 7874 7714 29DI LWPE PQGB X98,Games,Music,19577,11-441-4736
548,2020-04-01 17:48:14,33-711-2771,28-241-6532,FR51 5908 2551 35C9 QOJN L1RM 250,Music,Toys,10618,08-698-3137
5748,2018-10-30 01:32:20,25-946-0167,24-159-9962,CR83 7659 3540 5742 6750 0,Sports,Jewelery,6663,53-328-7941
2378,2019-02-11 00:12:32,02-703-9738,99-566-1134,IT50 Y035 7684 110N EYA8 7CFR 1GL,Baby,Health,45190,17-020-3078
17,2019-04-09 20:01:58,45-617-3056,62-379-8698,BE61 3088 4189 8962,Sports,Jewelery,49720,15-171-7310
83938,2020-06-17 03:17:46,06-066-2395,94-736-7957,GI08 JIHE 8AFN KAMN EJPZ TV4,Tools,Games,22660,66-851-8380
23062,2018-12-10 19:52:42,71-896-3583,51-944-3091,GR50 6050 544W EJTF KVDW AINY 58P,Garden,Games,22997,38-327-4614
26344,2019-04-02 00:53:10,69-775-3230,81-832-5875,BE12 9338 4691 5416,Clothing,Industrial,37080,72-900-5462
97,2020-08-25 03:36:48,59-152-5842,36-933-1255,HU46 7920 3008 9864 4973 4565 6955,Sports,Electronics,12515,53-816-7090
0,2018-10-29 04:55:16,21-009-3445,48-498-5610,FO76 2600 7551 8795 42,Movies,Outdoors,37743,66-309-6228
847,2020-06-01 19:16:24,70-777-8532,95-711-7632,GI11 HIIG XC1S BMSB WEXW XEL,Health,Clothing,38762,60-583-1746
3,2019-10-30 06:45:33,24-082-6634,84-809-8650,CR50 2486 9529 5342 3092 8,Beauty,Computers,13077,40-534-4298
36,2018-09-15 13:17:05,62-022-3225,28-270-2306,GB74 ACJU 7674 9021 2763 51,Electronics,Baby,13045,75-374-3663
34869,2020-07-05 13:45:13,91-953-6480,98-159-7450,FR20 4925 1522 552B EPUD YAZ0 G40,Baby,Baby,6671,61-754-1428
98,2020-06-06 07:43:28,69-960-0598,35-122-5423,GE96 LQ28 4886 9628 0114 97,Health,Music,32513,55-786-7912
5227,2018-07-29 19:46:07,16-130-3475,46-039-1959,FR73 5497 0871 10W2 EDXK CSR5 218,Shoes,Sports,17054,00-738-9187
429,2018-04-17 04:23:18,38-048-9893,05-922-9635,RS27 7597 5997 4096 3094 32,Movies,Toys,24015,95-821-9723
8,2020-03-23 02:46:24,37-490-6339,21-365-8011,PT83 1898 9997 5068 4046 2735 2,Electronics,Toys,33246,49-075-6215
9,2018-10-22 04:07:11,51-318-1720,25-043-5656,LU20 5430 YMGS 0ERH SMF8,Home,Sports,38244,62-843-3316
79,2019-06-06 14:35:16,16-588-7106,45-382-8624,FR50 5965 8252 766F BLDB FVJA 303,Industrial,Kids,31609,16-879-9971
126,2019-09-04 09:43:59,03-192-8921,86-329-0055,GT39 E486 XKTR XEYZ LBF7 CR07 THYC,Outdoors,Jewelery,9257,23-120-7009
147,2018-08-06 14:21:57,78-548-6154,45-559-6833,FR46 3626 5259 00MG TRVJ EFBX O64,Kids,Games,27585,01-689-8607
67,2018-08-11 09:06:32,56-450-0297,41-728-7918,DE88 9716 0602 0286 2616 96,Automotive,Jewelery,11976,09-902-9252
2,2020-03-19 23:15:01,20-467-8232,57-234-5325,BH30 RYIX 8XFY IVGO XYBV RK,Jewelery,Books,40354,06-657-3329
0124,2020-01-06 05:18:52,47-058-2712,55-539-3352,RS89 0427 2934 8531 8841 50,Clothing,Books,7774,86-125-3313
47937,2018-05-29 04:44:07,20-169-3066,14-720-7635,CY32 0662 7606 CYQX CQWS PN2M HNLY,Books,Games,21664,73-555-6530
81156,2018-07-01 00:15:20,83-691-4271,69-377-1189,NO52 9557 9730 148,Industrial,Automotive,39014,86-594-9970
29,2018-05-23 14:35:37,30-182-9655,58-496-6097,FR24 5096 5360 05SL WXJK 8ACY Y73,Baby,Sports,42498,94-268-8456
98195,2019-05-05 14:51:46,24-689-9182,77-994-8343,PS43 KYUE UL3T MIAE OHWZ AWMZ LNDB O,Automotive,Grocery,37768,63-105-1126
714,2020-01-23 06:37:54,31-669-6371,77-293-9554,FR86 0616 7107 31LM BB8Y 6PGS R62,Automotive,Computers,22664,29-344-9723
8,2018-10-09 01:07:43,23-259-1117,79-563-5268,FR18 4807 7758 14RY 8CEI SAVB S30,Computers,Clothing,32359,95-902-8682
229,2018-05-01 20:35:19,36-255-0296,86-159-2908,FR25 0649 8990 1294 PBTA EMYR S11,Music,Home,12655,79-472-7437
4107,2020-08-02 06:28:10,62-758-1290,00-804-4836,MU67 UNLH 8048 0169 2556 4130 419W XL,Tools,Health,19687,71-158-4114
82908,2020-08-18 20:56:52,02-630-0082,96-114-8952,ME50 9476 5045 3675 7134 66,Grocery,Kids,12113,65-163-9680
56345,2020-07-06 20:27:31,52-018-9283,22-143-0137,FR40 9997 8750 39C3 O4RZ X9V7 G62,Jewelery,Computers,18663,45-797-9769
672,2018-04-13 18:15:59,55-958-4846,99-131-5030,SI62 8879 3643 2328 670,Home,Automotive,7494,68-589-8220
3942,2019-08-09 05:58:48,84-918-8364,45-509-0791,BE42 5933 6956 0336,Jewelery,Tools,40410,17-935-6443
5,2019-12-17 13:13:00,44-098-6326,16-705-8791,TR45 1659 8VGY MQVD 3WKC 62VX DK,Computers,Industrial,28001,61-886-4550
24915,2018-04-04 04:05:37,78-984-2483,06-767-1371,IL57 6422 6952 5480 1941 127,Clothing,Games,8941,47-770-2334
0,2020-08-27 16:16:29,10-254-0495,94-637-6653,HR57 3341 2191 9512 2628 6,Automotive,Baby,13469,86-592-4907
69991,2018-04-09 16:10:24,72-384-2362,14-322-2104,FR78 7354 9550 46PT VZEG HTDD 784,Tools,Jewelery,43638,02-051-0644
232,2020-02-11 22:45:32,65-966-6804,38-884-5375,FR10 5176 7290 15OT 5M3V P338 402,Movies,Jewelery,38507,63-532-6349
1142,2018-12-05 20:17:51,36-700-2149,27-516-6066,BR02 5297 7417 1934 9416 0649 492E U,Clothing,Kids,5795,19-067-7203
13,2020-08-01 22:27:27,09-745-6560,45-691-0115,FR35 1925 3247 63ND NRYL HKPB O83,Tools,Games,42849,60-429-9403
313,2020-05-30 20:00:15,08-748-3525,71-872-4885,FR84 7241 1633 28TB FCJQ AM4N C76,Kids,Grocery,48770,85-807-8979
17188,2018-10-22 11:29:01,75-400-5728,77-194-1344,SA83 19AR 3MRD O7RX V02K 9W3X,Industrial,Beauty,37098,16-835-2074
5248,2019-07-31 20:00:44,92-341-7313,85-101-7247,FR95 0803 4510 29AK P4SY DAIF 628,Electronics,Grocery,42608,68-549-7377
57694,2019-09-14 16:30:13,45-662-3775,07-054-5405,BE34 4863 4256 0288,Garden,Tools,16889,00-146-4187
608,2019-02-17 05:11:34,89-964-2367,36-585-6480,SE33 9306 4209 3479 8456 2525,Industrial,Beauty,20283,87-254-6658
81060,2020-01-03 20:29:05,21-916-3099,87-442-1536,GL06 9805 3643 7009 79,Electronics,Home,48848,89-976-0677
984,2019-09-11 20:19:41,08-442-4571,31-115-0939,FR72 8249 0036 46W8 DI4U R9IT J45,Computers,Books,38888,49-190-2923
81,2020-08-08 15:03:03,60-724-0577,68-577-0429,AD65 1333 3529 JQQX JZBY J8NZ,Games,Computers,38889,85-739-6536
284,2018-07-25 08:08:10,57-045-6962,04-210-3192,NO46 6983 1069 877,Clothing,Baby,29560,04-828-2952
0,2019-12-13 11:09:12,83-234-9291,20-727-8699,FO24 8437 1599 0838 32,Music,Automotive,47698,39-922-5553
3143,2019-08-28 18:55:47,62-021-2455,50-085-3484,MD94 AQ2X M1CP RPJI XXEL HA9N,Electronics,Grocery,46472,89-005-9157
0631,2019-06-21 22:15:15,83-564-2885,06-491-9447,ES93 3701 1458 6437 9014 7299,Automotive,Clothing,28004,48-179-1282
558,2020-07-18 10:37:07,88-667-7094,26-663-2707,TN06 7289 5519 8950 0929 5542,Health,Games,36032,42-632-1255
444,2018-06-21 10:59:13,71-643-7551,27-686-2490,LU21 006M KX83 OIR1 IKGO,Movies,Music,11021,68-360-8812
7,2018-04-19 07:21:41,75-992-5736,08-605-3425,FR36 6600 1821 18SR KXPZ Y66D U81,Home,Outdoors,33934,48-371-0130
67,2019-03-03 22:29:02,94-576-2233,41-433-3650,GI23 XEHP JS6L 6UY6 RBKL TSM,Grocery,Garden,16211,70-105-2439
1,2020-01-08 15:40:20,79-905-4806,39-447-4810,CR59 0657 9856 1465 0112 6,Sports,Industrial,37540,81-587-7221
2,2019-11-17 00:51:51,17-525-4908,36-008-7721,MT04 JLMX 6678 0D4L 3LMT P0RD 8QJY PSE,Outdoors,Movies,12793,47-645-8230
2,2019-06-07 23:52:04,44-821-2478,22-321-2516,LB47 9747 WCEH CZ99 ETGA YET9 MOR4,Automotive,Health,36125,08-087-7533
28,2019-11-23 16:03:10,69-707-7698,01-137-3565,FR07 0790 5329 28HC OPZF P0XP Y25,Books,Sports,30123,45-882-8447
7,2019-10-10 00:51:53,14-043-7646,13-641-1088,CR41 6457 3874 7789 0884 6,Games,Music,25667,11-543-3736
1904,2019-05-04 11:04:51,63-522-5315,42-142-4688,KZ44 269F OW2M WFH2 KXPB,Games,Kids,38970,53-677-3015
317,2018-12-31 20:00:23,56-524-7550,70-603-3020,IL89 2902 7135 7212 6706 018,Electronics,Home,31417,43-604-1023
780,2020-04-15 19:03:32,80-725-7656,12-098-8973,AE60 6142 1852 5646 8551 912,Computers,Toys,16792,85-661-3090
864,2018-12-21 16:34:41,67-188-7615,75-211-4005,PS15 XEGO TSVQ XPER 8FRI V60Z JBI0 S,Automotive,Grocery,11985,84-492-0002
4153,2019-07-27 19:40:27,04-650-2558,16-447-9638,PL52 2239 6249 2596 0416 0818 1304,Books,Beauty,5213,36-516-4416
2,2020-05-09 00:02:43,71-505-4578,38-157-2431,GI30 RNDV VQMG QISD NCPE R9T,Beauty,Baby,25086,34-474-7754
930,2018-03-13 05:18:27,11-072-9431,73-355-1432,VG28 OVGF 7510 5796 2544 3918,Games,Clothing,35258,62-280-9779
25333,2019-04-10 23:51:53,65-264-9080,43-808-3242,AL88 5492 4267 YJOQ NCPR DM2V J3H1,Industrial,Books,14408,52-468-2403
5,2018-07-04 02:00:39,97-421-5257,95-042-6664,IS32 5817 7512 2059 8755 4667 43,Outdoors,Outdoors,35766,32-736-8001
5,2019-11-12 13:03:24,41-493-4918,56-520-1851,MT69 FUMB 7292 8LKL M842 KOKI GSCJ CUI,Sports,Health,41205,27-372-0376
4,2018-12-07 12:57:11,95-646-8435,34-177-5097,VG61 GURQ 2096 1868 4579 3972,Games,Garden,24597,93-987-7017
6636,2018-03-29 03:24:36,23-820-5560,69-093-6384,MK89 381V 22YT T9EX 266,Games,Baby,18367,19-240-0841
014,2019-09-29 18:39:01,73-163-0806,32-077-2513,PT81 5126 7310 6682 9966 6031 2,Automotive,Shoes,28918,99-958-4600
3,2019-11-19 13:19:17,27-432-1681,35-958-4445,GI17 GSES A7VJ BJMO EFPG XRO,Sports,Electronics,24354,30-141-9231
6417,2018-05-28 14:32:14,06-842-1572,76-481-4621,MR80 1538 7633 8734 4776 9879 131,Music,Tools,32046,69-430-3167
994,2018-08-03 11:58:35,26-422-7458,46-998-6946,FR43 1968 2414 18LP KHI5 QMRN A35,Garden,Books,25049,53-668-1159
0,2018-08-06 01:08:05,20-232-0159,50-682-5543,CH71 4742 3IYW 3RNS CHNK E,Tools,Clothing,11876,87-136-7763
8,2018-07-24 17:35:27,08-706-1965,19-018-2507,RO06 PMJJ V1MT YT7I MSXD YKOW,Games,Garden,47979,22-730-3393
47,2020-03-30 16:50:34,12-804-3368,30-114-9464,FR63 0596 0278 73NQ FQUC URR5 D12,Electronics,Shoes,36888,28-001-2584
11,2019-11-22 17:07:49,03-802-0877,12-946-6328,KZ44 940L A7SO MTY4 VFNH,Electronics,Health,16543,29-133-9240
7113,2020-01-01 04:24:23,06-764-3279,67-431-1799,PL98 1445 0192 4826 0490 1817 5429,Books,Games,31609,22-635-9728
60281,2020-03-30 19:39:24,15-444-9183,98-487-7835,BH56 FDTY JSSD SWFW VY8R IZ,Electronics,Games,34111,05-209-6563
46773,2019-04-03 07:05:33,55-340-0334,77-839-6348,KW10 DBJA ZQWN O9HW NSIF QZOC GXFD GV,Home,Clothing,7798,88-220-2766
858,2019-12-29 10:40:51,16-857-4065,90-069-2832,FR14 8864 4251 708P 7INT BJPQ L64,Music,Home,48207,42-767-1396
1,2019-08-03 01:41:02,63-328-5121,62-753-3133,AZ39 WRCK 89VV MGVN BGI1 4HXC IK9X,Clothing,Computers,44254,07-322-6309
797,2019-02-04 04:20:11,19-622-1636,50-356-4431,BR29 3650 2255 0275 1872 6443 331O W,Kids,Health,18621,70-969-3465
78567,2018-09-15 04:34:40,41-802-4071,97-375-6783,BE46 3433 6476 5615,Health,Shoes,42496,11-629-3573
84804,2018-07-19 09:51:27,90-521-1356,29-680-7393,SK17 0288 5167 2733 9908 2731,Movies,Music,17055,97-651-5541
882,2018-07-28 06:51:23,76-571-0580,87-837-9778,NL34 EEBF 0758 8663 01,Movies,Music,5549,63-404-1695
88554,2018-12-22 00:39:55,18-072-7378,06-825-2902,RS48 7190 0776 6049 2762 85,Garden,Industrial,13462,80-540-8029
530,2018-10-09 18:38:04,17-319-9006,78-761-0307,FR10 2180 9063 70DI M5OT CZ9S H47,Garden,Games,23058,43-893-1279
600,2020-06-14 20:05:43,27-100-7413,94-423-8426,HU19 0502 6506 7753 3920 2405 8862,Music,Clothing,25588,19-532-7872
37115,2019-05-26 01:02:56,47-073-5192,89-189-6821,FO03 6196 6218 0455 41,Home,Kids,37324,00-445-4503
5311,2019-03-03 05:10:05,85-856-6382,55-047-9489,FR62 8101 5998 88TU I0RQ Y2OF M62,Automotive,Clothing,18637,03-683-2500
69628,2018-03-24 10:33:24,19-632-1098,59-031-6523,MD49 L9BY QQLN ABF4 XXOM C0ZA,Clothing,Toys,45018,47-611-1026
296,2020-05-13 07:56:22,49-944-2033,75-929-8938,FR13 4383 5437 05RR UYST JYHN 495,Beauty,Health,21237,27-349-4432
06,2019-06-07 01:59:56,00-191-2923,18-719-4440,FR62 0336 7794 56SR NLAK EC13 R37,Garden,Music,41129,87-286-7575
16,2019-04-16 14:52:12,48-576-3899,53-358-6724,AT43 6629 2608 4867 1839,Kids,Kids,19378,22-250-7565
2327,2019-11-04 16:45:44,25-432-7755,66-973-1796,TR73 2460 8MF3 GMOW PMSR N51U 1R,Industrial,Games,33426,27-130-1046
07,2020-07-17 21:23:31,67-320-1873,28-852-6778,DE15 1655 1095 6082 4040 58,Outdoors,Home,46522,49-416-5516
7,2019-10-20 03:58:44,37-521-9060,52-066-5121,BA15 3903 3561 5174 3970,Games,Garden,38106,99-903-5881
84914,2019-07-22 22:24:22,07-461-0696,91-340-5663,RO39 BZVP 0IMT JO7I EGSK EMFG,Beauty,Kids,10450,20-588-4888
05863,2018-09-28 14:59:58,81-922-8310,07-929-9307,BG43 DLGZ 2014 38OR RL3T WL,Health,Music,22076,07-049-3655
0,2020-05-15 05:26:29,37-908-7958,73-082-9612,KZ74 439Y TMKD LREB LJOS,Garden,Books,26442,20-423-3971
8,2019-07-13 14:11:13,26-181-8012,11-059-1746,GR77 3357 0035 0U8D BLL1 0R2P SSQ,Music,Games,47666,63-135-5858
60,2020-01-08 15:51:05,59-450-2454,95-699-7864,HR95 2021 0334 1200 2717 3,Electronics,Movies,9267,05-100-9296
3,2018-03-22 13:02:24,87-011-0512,13-007-9259,CZ56 8876 2955 6359 9973 3233,Books,Garden,31432,79-252-9322
08048,2019-09-13 03:26:47,52-302-2506,24-705-6378,IT91 K001 9804 305S JLWR CETY OUV,Books,Automotive,11951,73-102-3661
77109,2020-04-16 19:53:15,84-940-1183,03-530-6191,NO56 9002 0123 375,Kids,Garden,8602,24-867-3164
9457,2018-07-14 14:06:02,35-040-6601,08-112-5000,FR93 0287 1836 49XA 62XE UFC4 O10,Jewelery,Baby,13880,56-532-8594
4,2020-05-22 22:39:59,76-367-8269,01-912-2490,BA95 9151 0368 8145 4422,Automotive,Tools,37489,10-604-7429
78426,2020-05-18 18:04:03,54-884-7521,33-730-4551,FR68 9142 8503 60YJ L3SQ 34NZ P12,Kids,Movies,37247,28-351-2883
469,2019-04-21 11:21:36,19-246-9244,57-137-4925,PT84 5858 3162 6429 8411 5823 5,Outdoors,Shoes,5143,08-930-0588
679,2019-11-06 14:23:38,73-812-4696,05-742-9675,LV76 AFUR FAHN K1JB 5T7B L,Baby,Toys,40235,42-956-2799
